id,grpid,carid,timestamp,longitude,latitude,speed,direction
5138,60,X31G42,1302193800.000,114.041565,22.521269,14.0,90.0
5139,30,X433Z2,1302193800.000,113.998210,22.735226,55.0,270.0
5140,33,X76F60,1302193800.000,114.087730,22.537582,55.0,225.0
5141,60,X20S43,1302193801.000,114.066730,22.530905,0.0,90.0
5142,41,X20S52,1302193801.000,114.114456,22.542398,24.0,45.0
5143,55,X43F95,1302193801.000,114.052690,22.518312,51.0,225.0
5144,53,X38G91,1302193802.000,114.107820,22.536636,0.0,225.0
5145,60,X51L21,1302193802.000,114.046410,22.599890,0.0,0.0
5146,34,X858U3,1302193802.000,114.018990,22.662493,24.0,315.0
5147,35,XQR741,1302193802.000,113.914390,22.529037,0.0,135.0
5148,48,X47G73,1302193803.000,113.902940,22.565847,0.0,270.0
5149,32,X989G3,1302193803.000,114.104324,22.565159,0.0,225.0
5150,61,XA5P72,1302193803.000,114.046470,22.599916,0.0,225.0
5151,32,X190F3,1302193804.000,113.898400,22.557041,0.0,0.0
5152,37,X195F5,1302193804.000,114.077070,22.540133,38.0,45.0
5153,42,X35G10,1302193804.000,113.942760,22.565031,102.0,90.0
5154,32,X169F0,1302193805.000,114.038660,22.602158,13.0,0.0
5155,33,X451D2,1302193805.000,113.902280,22.721832,44.0,135.0
5156,59,X52L22,1302193805.000,114.101740,22.612322,0.0,0.0
5157,32,X620D1,1302193805.000,114.076866,22.532084,66.0,225.0
5158,32,X898G7,1302193805.000,113.829720,22.645826,64.0,315.0
5159,34,X777D1,1302193806.000,114.113770,22.542633,14.0,225.0
5160,33,XA5G44,1302193806.000,114.126520,22.553017,0.0,270.0
5161,35,XQR763,1302193806.000,113.915280,22.535760,0.0,270.0
5162,36,X390Z1,1302193807.000,114.232864,22.663319,31.0,225.0
5163,87,X17G05,1302193808.000,114.121060,22.610018,4.0,0.0
5164,59,X56L55,1302193808.000,114.061140,22.517836,25.0,225.0
5165,61,X10S45,1302193809.000,114.109245,22.590174,72.0,135.0
5166,26,X160F3,1302193809.000,114.307755,22.601357,0.0,90.0
5167,116,X412Y0,1302193809.000,114.165050,22.564450,17.0,45.0
5168,32,X964G7,1302193809.000,114.104140,22.558653,0.0,270.0
5169,33,XQR422,1302193809.000,114.145590,22.544355,2.0,0.0
5170,33,X65F70,1302193810.000,114.106980,22.601350,12.0,225.0
5171,38,X831U7,1302193810.000,114.183930,22.638523,0.0,315.0
5172,33,XQR423,1302193810.000,113.988560,22.543962,0.0,90.0
5173,60,X17S51,1302193811.000,114.113080,22.597550,0.0,90.0
5174,38,X16V70,1302193812.000,114.126564,22.549833,6.0,225.0
5175,35,X933W5,1302193812.000,114.068830,22.530684,42.0,270.0
5176,56,X43F95,1302193813.000,114.051370,22.518297,23.0,270.0
5177,31,X628Z0,1302193815.000,114.036545,22.658796,50.0,90.0
5178,33,X927G2,1302193815.000,113.952520,22.570896,47.0,135.0
5179,57,X20S50,1302193816.000,114.261460,22.718323,0.0,315.0
5180,34,X26X62,1302193816.000,114.126335,22.573784,0.0,0.0
5181,33,X940G3,1302193816.000,114.041130,22.526482,9.0,135.0
5182,34,X860U3,1302193817.000,114.017540,22.664392,2.0,180.0
5183,34,X766D3,1302193818.000,113.918870,22.520000,0.0,90.0
5184,32,X867U1,1302193818.000,114.064120,22.635240,73.0,135.0
5185,61,X17S51,1302193819.000,114.113080,22.597550,0.0,90.0
5186,50,X38G95,1302193819.000,114.068400,22.524157,17.0,0.0
5187,49,X47G73,1302193819.000,113.902880,22.565910,0.0,0.0
5188,60,X64K41,1302193819.000,114.020550,22.531742,0.0,135.0
5189,28,X971Z3,1302193819.000,114.016100,22.666775,37.0,135.0
5190,32,XQR411,1302193819.000,113.938330,22.524927,70.0,270.0
5191,34,X17R35,1302193820.000,114.250550,22.734650,0.0,0.0
5192,61,X20S43,1302193820.000,114.066730,22.530905,0.0,90.0
5193,34,X332D7,1302193820.000,114.113630,22.544000,0.0,0.0
5194,30,X360Z7,1302193820.000,114.037270,22.658460,0.0,180.0
5195,42,X20S52,1302193821.000,114.115380,22.542625,11.0,45.0
